# Codepoint	Character	Name	SVG file	CSS class
U+EB09		Snapcraft	Snapcraft.svg	snapcraft-icon
U+1F43D	🐽	Snort	Snort.svg	snort-icon
U+1F3D4	🏔	Snowpack	Snowpack.svg	snowpack-icon
U+EA1C		Snyk	Snyk.svg	snyk-icon
U+1D5E6	𝗦	Solidarity	Solidarity.svg	solidarity-icon
U+EA86		Solidity	Solidity.svg	solidity-icon
U+EB72		Sophia	Sophia.svg	sophia-icon
U+1F366	🍦	Sorbet	Sorbet.svg	sorbet-icon
U+EB82		Source	Source.svg	source-icon
U+EAA4		Spacemacs	Spacemacs.svg	spacemacs-icon
U+29CF	⧏	Spacengine	Spacengine.svg	spacengine-icon
U+EB57		SPARC	SPARC.svg	
U+EA02		Spray	Spray.svg	
U+E9A5		SQF	SQF.svg	sqf-icon
U+E9DD		SQLite	SQLite.svg	sqlite-icon
U+EA5E		Squarespace	SquareSpace.svg	squarespace-icon
U+E9A4		Stan	Stan.svg	stan-icon
U+E9A3		Stata	Stata.svg	stata-icon
U+EB70		StdlibJS	StdlibJS.svg	stdlibjs-icon
U+EA95		Stencil	Stencil.svg	stencil-icon
U+EBA0		Stitches	Stitches.svg	stitches-icon
U+EADF		Storybook	Storybook.svg	storybook-icon
U+E9EF		Storyist	Storyist.svg	storyist-icon
U+E9E0		Strings	Strings.svg	strings-icon
U+EAE0		Stylable	Stylable.svg	stylable-icon
U+1F485	💅	StyledComponents	StyledComponents.svg	nailpolish-icon
U+E93D		Stylelint	Stylelint.svg	stylelint-icon
U+EB3D		Stylish Haskell	StylishHaskell.svg	stylishhaskell-icon
U+0073	s	Stylus	Stylus-S.svg	stylus-icon
U+E9F7		Stylus, Full	Stylus.svg	
U+0053	S	Stylus, Orb	Stylus-Orb.svg	
U+E986		Sublime	Sublime.svg	sublime-icon
U+E9A2		SuperCollider	SuperCollider.svg	scd-icon
U+33DC	㏜	Svelte	Svelte.svg	svelte-icon
U+EA17		SVN	SVN.svg	svn-icon
U+EA29		Swagger	Swagger.svg	swagger-icon
U+E9C3		SystemVerilog	SystemVerilog.svg	sysverilog-icon
U+F015		Tag	Tag.svg	tag-icon
U+301C	〜	Tailwind	Tailwind.svg	tailwind-icon
U+E956		Tcl	Tcl.svg	tcl-icon
U+2708	✈	Telegram	Telegram.svg	telegram-icon
U+0054	T	Template Toolkit	TemplateToolkit.svg	tt-icon
U+2696	⚖	TempleOS	TempleOS.svg	templeos-icon
U+F0C8		Terminal	Terminal.svg	terminal-icon
U+1F54A	🕊	Tern	Tern.svg	tern-icon
U+E916		Terraform	Terraform.svg	terraform-icon
U+272C	✬	Terser	Terser.svg	terser-icon
U+EA62		Test, CoffeeScript	Test-CoffeeScript.svg	test-coffee-icon
U+EA60		Test, Directory	Test-Directory.svg	test-dir-icon
U+EA63		Test, Generic	Test-Generic.svg	test-generic-icon
U+EB0F		Test, Go	Test-Go.svg	test-go-icon
U+EB10		Test, Haskell	Test-Haskell.svg	test-hs-icon
U+EA64		Test, JS	Test-JS.svg	test-js-icon
U+EA65		Test, Perl	Test-Perl.svg	test-perl-icon
U+EA66		Test, Python	Test-Python.svg	test-python-icon
U+EA67		Test, React	Test-React.svg	test-react-icon
U+EA68		Test, Ruby	Test-Ruby.svg	test-ruby-icon
U+EB11		Test, Rust	Test-Rust.svg	test-rust-icon
U+EA69		Test, TypeScript	Test-TypeScript.svg	test-ts-icon
U+2714	✔	TestCafe	TestCafe.svg	testcafe-icon
U+E600		Tex	LaTeX.svg	tex-icon
U+0074	t	Textile	Textile.svg	textile-icon
U+2122	™	TextMate	TextMate.svg	textmate-icon
U+EAE1		TFS	TFS.svg	tfs-icon
U+E9D8		Thor	Thor.svg	thor-icon
U+EB8A		Tilt	Tilt.svg	tilt-icon
U+EA01		TinyMCE	TinyMCE.svg	
U+EAA9		Tipe	Tipe.svg	tipe-icon
U+EAB2		TLA+	TLA+.svg	tla-icon
U+EA8C		tmux	tmux.svg	tmux-icon
U+1F143	🅃	TOML	TOML.svg	toml-icon
U+EA93		TortoiseSVN	TortoiseSVN.svg	tortoise-icon
U+EB34		TOTVS	TOTVS.svg	totvs-icon
U+EB3B		Truffle	Truffle.svg	truffle-icon
U+E9E7		TSX	TSX.svg	tsx-icon
U+E9D1		TSX, Alt	TSX-Alt.svg	
U+2476	⑶	TTCN-3	TTCN-3.svg	ttcn3-icon
U+E9B6		Turing	Turing.svg	turing-icon
U+2E19	⸙	Twig	Twig.svg	twig-icon
U+EA5D		Twine	Twine.svg	twine-icon
U+E9C1		TXL	TXL.svg	txl-icon
U+E9FE		TypeDoc	TypeDoc.svg	typedoc-icon
U+02A6	ʦ	TypeScript	TypeScript.svg	ts-icon
U+E912		TypeScript, Alt	TypeScript-Alt.svg	
U+E9DF		Typings	Typings.svg	typings-icon
U+1F144	🅄	UFO	UFO.svg	ufo-icon
U+EAC4		Unibeautify	Unibeautify.svg	unbeautify-icon
U+EB6E		Unicode	Unicode.svg	unicode-icon
U+E9B3		UNO	UNO.svg	uno-icon
U+0075	u	UnrealScript	UnrealScript.svg	unreal-icon
U+E9BA		UrWeb	UrWeb.svg	urweb-icon
U+0076	v	V	V.svg	v-icon
U+EA1F		V8	V8.svg	v8-icon
U+EAAC		V8, Turbofan	V8-Turbofan.svg	v8-turbofan-icon
U+0056	V	Vagrant	Vagrant.svg	vagrant-icon
U+1D4B1	𝒱	Vala	Vala.svg	vala-icon
U+EB5C		VAX	VAX.svg	
U+E9B4		VCL	VCL.svg	varnish-icon
U+2B94	⮔	Velocity	Velocity.svg	velocity-icon
U+E949		Verilog	Verilog.svg	verilog-icon
U+EA79		VertexShader	VertexShader.svg	vertex-icon
U+E9AA		VHDL	VHDL.svg	vhdl-icon
U+F057		Video	Video.svg	video-icon
U+EA3E		VirtualBox	VirtualBox.svg	virtualbox-icon
U+EA2E		VirtualBox, Alt	VirtualBox-Alt.svg	
U+2607	☇	Vite	Vite.svg	vite-icon
U+EA49		VMware	VMware.svg	vmware-icon
U+24CB	Ⓥ	V-Ray	V-Ray.svg	vray-icon
U+EB22		VSCode	VSCode.svg	
U+EAC0		VSTS	VSTS.svg	vsts-icon
U+E906		Vue	Vue.svg	vue-icon
U+EB31		Vyper	Vyper.svg	vyper-icon
U+EBAC		W3C	W3C.svg	w3c-icon
U+231F	⌟	Wallaby	Wallaby.svg	wallaby-icon
U+EABA		Walt	Walt.svg	walt-icon
U+2162	Ⅲ	Warcraft III	Warcraft-III.svg	warcraft3-icon
U+EB40		WASI	WASI.svg	
